id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
27623461,Rental unit in Lisboa · ★4.90 · 1 bedroom · 1 bed · 1 private bath,208443048,Bob-Lisbon,Lisboa,Avenidas Novas,38.74325,-9.14611,Private room,70,2,58,2023-06-06,3.87,19,238,48,
27624055,Rental unit in Lisboa · ★4.82 · 1 bedroom · 2 beds · 1 private bath,208443048,Bob-Lisbon,Lisboa,Avenidas Novas,38.74158,-9.14637,Private room,94,1,57,2023-06-08,0.99,19,259,50,
27624756,Rental unit in Ericeira · ★5.0 · 2 bedrooms · 3 beds · 1.5 baths,190286779,Cláudia E Maria João-,Mafra,Ericeira,38.98667,-9.41622,Entire home/apt,125,3,20,2023-05-01,0.34,16,305,10,79063/AL
27624765,Rental unit in Lisboa · ★4.83 · 1 bedroom · 1 bed · 1 private bath,208443048,Bob-Lisbon,Lisboa,Avenidas Novas,38.74336,-9.14743,Private room,63,1,61,2023-06-07,1.04,19,253,51,
27625221,Rental unit in Cascais · ★4.88 · 1 bedroom · 1 bed · 1 bath,9313237,José Manuel,Cascais,Cascais e Estoril,38.70259,-9.43637,Entire home/apt,120,8,24,2022-10-14,0.41,4,68,7,26024/AL
27625903,Condo in Lisboa · ★4.71 · 1 bedroom · 1 bed · 1 private bath,208443048,Bob-Lisbon,Lisboa,Avenidas Novas,38.74121,-9.14687,Private room,78,1,93,2023-06-06,1.61,19,239,53,
27633606,Rental unit in Lisboa · 1 bedroom · 1 bed · 1 bath,192128108,Teresa,Lisboa,Belm,38.69663,-9.2002,Entire home/apt,53,2,0,,,4,0,0,61897/AL
27634788,Rental unit in Lisboa · ★4.77 · 2 bedrooms · 4 beds · 1 bath,192128108,Teresa,Lisboa,Belm,38.69856,-9.19829,Entire home/apt,65,2,13,2020-07-11,0.23,4,0,0,69475/AL
27649658,Condo in Ericeira · ★5.0 · 3 bedrooms · 5 beds · 2 baths,6120239,Freja,Mafra,Ericeira,38.97120666503906,-9.418059349060059,Entire home/apt,226,3,24,2022-10-10,0.48,1,2,7,AL89516
27651937,Rental unit in Lisboa · ★4.60 · 2 bedrooms · 4 beds · 1 bath,208671467,Dominique,Lisboa,Santa Maria Maior,38.71166,-9.13194,Entire home/apt,170,2,129,2023-05-09,2.21,1,0,8,76638/AL
27655593,Condo in Ericeira · ★4.84 · 1 bedroom · 1 bed · 1 bath,140911421,Alexander,Mafra,Ericeira,38.969468,-9.417383,Entire home/apt,91,1,55,2023-05-27,1.11,3,243,15,92379/AL
27655619,Rental unit in Lisboa · ★4.69 · 2 bedrooms · 2 beds · 1 bath,185677623,Fátima,Lisboa,Belm,38.69697,-9.21116,Entire home/apt,64,1,167,2023-06-02,2.88,2,256,61,72448 AL
27241592,Home in Sintra · ★4.54 · 1 bedroom · 6 beds · 1 bath,88989378,LusoBIBLOS,Sintra,"S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim",38.77142,-9.3582,Entire home/apt,73,3,50,2023-05-02,0.86,3,252,12,71431/AL
27243032,Rental unit in Lisboa · ★4.41 · 2 bedrooms · 3 beds · 1 bath,21019651,Elsa And Rui,Lisboa,Misericrdia,38.71296,-9.14382,Entire home/apt,129,2,298,2023-06-13,5.04,34,302,73,78585/AL
