Description,Score,Facilities,District,Neighbourhood,Room type,Price,Minimum nights,Host name,Number of reviews,Last review,Latitude,Longitude
Rental unit in lisbon,★4.60,"1 bedroom, 3 beds, 1 shared bath",Lisboa,Penha de Frana,Private room,54,1,Filipe,384,2023-05-27,38.72983,-9.13183
Rental unit in lisboa,★4.79,"2 bedrooms, 4 beds, 1 bath",Lisboa,Santa Maria Maior,Entire home/apt,215,1,Paula And Eduardo,75,2023-06-08,38.71252,-9.1245
Condo in lisbon,★4.77,"2 bedrooms, 1 bed, 1 bath",Lisboa,Parque das Naes,Entire home/apt,119,3,Jorge,14,2023-05-14,38.7787,-9.09634
Rental unit in lisbon,★4.91,"2 bedrooms, 3 beds, 1 bath",Lisboa,Santa Maria Maior,Entire home/apt,233,1,Paula And Eduardo,82,2023-05-25,38.71276,-9.12469
Rental unit in lisbon,★4.75,"1 bedroom, 1 bed, 1 bath",Lisboa,Santa Maria Maior,Entire home/apt,91,5,Susana,376,2023-06-06,38.71214,-9.12936
Rental unit in lisbon,★4.72,"Studio, 1 bed, 1 bath",Lisboa,Santa Maria Maior,Entire home/apt,72,4,Susana,402,2023-06-11,38.71143,-9.12778
Rental unit in lisbon,★4.68,"2 bedrooms, 1 bed, 1 shared bath",Lisboa,Arroios,Private room,70,3,Jesse James,222,2023-05-28,38.71806,-9.13738
Rental unit in lisbon,★4.77,"1 bedroom, 2 beds, 1 bath",Lisboa,Santa Maria Maior,Entire home/apt,89,2,Juan,374,2023-06-10,38.71091,-9.13251
Rental unit in lisboa,★5.0,"2 bedrooms, 1 bed, 1 shared bath",Lisboa,Campolide,Private room,25,23,Rosa,7,2023-04-04,38.73802,-9.165
Rental unit in lisbon,★4.51,"1 bedroom, 1 bed, 1 bath",Lisboa,So Vicente,Entire home/apt,150,5,Matt,206,2023-02-26,38.71841,-9.1233
Rental unit in lisboa,★4.91,"1 bedroom, 1 bed, 1 bath",Lisboa,So Vicente,Entire home/apt,209,2,Bruno,671,2023-06-10,38.72068,-9.13157
Rental unit in ericeira,★4.30,"2 bedrooms, 3 beds, 1.5 baths",Mafra,Ericeira,Entire home/apt,120,4,Nuno,10,2022-12-29,38.985851,-9.415645
Rental unit in lisboa,★4.86,"2 bedrooms, 2 beds, 1.5 baths",Lisboa,So Vicente,Entire home/apt,180,4,Chiho & Nuno,337,2023-06-04,38.7144,-9.12395
Rental unit in lisbon,★4.92,"1 bedroom, 1 bed",Lisboa,Santa Maria Maior,Entire home/apt,98,3,Patrícia,13,2023-06-04,38.71219,-9.12739
