;;;;;;;;;;;;;;;
II.1.3 - População residente por município, segundo os grandes grupos etários e o sexo em 31/12/2021 (continuação);;;;;;;;;;;;;;;
II.1.3 - Resident population by municipality and according to age groups and sex on 31/12/2021 (continued);;;;;;;;;;;;;;;
Unidade: N.º;;;;;;;;;Unit: No.;;;;;;
;25-64 anos;;;65 e mais anos;;;;;;;;;;;
;HM;H;M;Total;;;75 e mais anos;;;;;Desagregação Territorial;;;
;;;;HM;H;M;HM;H;M;;NUTS_2013;NUTS I;NUTS II;NUTS III;Município
Almeida;  2 526;  1 280;  1 246;  2 560;  1 068;  1 492;  1 523;   579;   944;;16J0902;;;;x
Belmonte;  3 044;  1 503;  1 541;  2 023;   873;  1 150;  1 136;   446;   690;;16J0501;;;;x
Celorico da Beira;  3 080;  1 501;  1 579;  2 295;   999;  1 296;  1 273;   509;   764;;16J0903;;;;x
Covilhã;  23 255;  11 393;  11 862;  13 985;  5 984;  8 001;  6 943;  2 662;  4 281;;16J0503;;;;x
Figueira de Castelo Rodrigo;  2 288;  1 152;  1 136;  1 952;   836;  1 116;  1 131;   450;   681;;16J0904;;;;x
Fornos de Algodres;  2 042;  1 013;  1 029;  1 597;   663;   934;   943;   359;   584;;16J0905;;;;x
Fundão;  12 797;  6 329;  6 468;  8 659;  3 751;  4 908;  4 652;  1 819;  2 833;;16J0504;;;;x
Gouveia;  5 439;  2 632;  2 807;  4 673;  2 008;  2 665;  2 567;   988;  1 579;;16J0906;;;;x
Guarda;  21 310;  10 379;  10 931;  10 173;  4 364;  5 809;  5 191;  2 015;  3 176;;16J0907;;;;x
Manteigas;  1 323;   653;   670;  1 127;   490;   637;   556;   218;   338;;16J0908;;;;x
Mêda;  2 104;  1 048;  1 056;  1 790;   774;  1 016;  1 027;   411;   616;;16J0909;;;;x
Pinhel;  3 651;  1 846;  1 805;  3 107;  1 326;  1 781;  1 776;   722;  1 054;;16J0910;;;;x
Sabugal;  4 657;  2 393;  2 264;  5 035;  2 150;  2 885;  3 055;  1 182;  1 873;;16J0911;;;;x
