Description,Score,Facilities,District,Neighbourhood,Room type,Price,Minimum nights,Host name,Number of reviews,Last review,Latitude,Longitude
Rental unit in madrid,★4.78,"1 bedroom, 2 beds, 1 bath",Centro,Embajadores,Entire home/apt,88,5,Elena,38,2023-04-11 00:00:00,40.41015,-3.69797
Rental unit in madrid,★4.83,"4 bedrooms, 4 beds, 3 baths",Salamanca,Lista,Entire home/apt,230,365,Home At Homes,54,2020-02-01 00:00:00,40.43189,-3.67793
Rental unit in madrid,★Unknown,"2 bedrooms, 1 bed, 1 bath",Carabanchel,Puerta Bonita,Entire home/apt,20,1,KMitocondria,1,2015-08-26 00:00:00,40.37609,-3.74279
Rental unit in madrid,★4.39,"3 bedrooms, 4 beds, 1.5 baths",Tetuán,Almenara,Entire home/apt,106,31,The Punset Family,29,2023-05-15 00:00:00,40.47148,-3.68946
Rental unit in madrid,★4.41,"3 bedrooms, 3 beds, 2.5 baths",Salamanca,Fuente del Berro,Entire home/apt,124,90,The Punset Family,43,2021-04-17 00:00:00,40.42881,-3.66605
Rental unit in madrid,★4.72,"1 bedroom, 2 beds, 1 bath",Centro,Palacio,Entire home/apt,161,3,Xavier,160,2023-04-30 00:00:00,40.41747,-3.70979
Rental unit in madrid,★4.73,"2 bedrooms, 3 beds, 1 bath",Centro,Universidad,Entire home/apt,70,20,Juanpe,38,2018-07-03 00:00:00,40.4249,-3.7097
Home in madrid,★4.28,"4 bedrooms, 12 beds, 3 baths",Hortaleza,Pinar del Rey,Entire home/apt,154,3,Farah Maria,136,2023-05-23 00:00:00,40.4696,-3.65012
Rental unit in madrid,★4.57,"2 bedrooms, 4 beds, 1 bath",Retiro,Niño Jesús,Entire home/apt,116,2,Ana,198,2023-06-09 00:00:00,40.40988,-3.67503
Rental unit in madrid,★4.75,"2 bedrooms, 6 beds, 2 baths",Centro,Sol,Entire home/apt,171,3,Anouk,184,2023-05-26 00:00:00,40.41584,-3.70683
Rental unit in madrid,★4.55,"1 bedroom, 1 bed, 1.5 shared baths",Centro,Sol,Private room,49,2,Bibiana,517,2023-06-02 00:00:00,40.41676,-3.70682
Rental unit in madrid,★4.64,"1 bedroom, 1 bed, 2 baths",Ciudad Lineal,Costillares,Private room,40,1,Mercedes,15,2017-12-22 00:00:00,40.47444,-3.67135
Rental unit in madrid,★4.88,"1 bedroom, 2 beds, 1 bath",Centro,Palacio,Entire home/apt,85,1,Olga,126,2023-05-29 00:00:00,40.41944,-3.70945
Rental unit in madrid,★4.66,"3 bedrooms, 4 beds, 2 baths",Villaverde,Los Angeles,Entire home/apt,103,3,Román,264,2023-06-06 00:00:00,40.36089,-3.69594
Rental unit in madrid,★4.36,"1 bedroom, 2 beds, 1 bath",Centro,Justicia,Entire home/apt,73,3,Henrique Manuel,110,2023-05-29 00:00:00,40.42166,-3.69615
Rental unit in madrid,★4.70,"3 bedrooms, 3 beds, 1 bath",Villaverde,Los Angeles,Entire home/apt,80,3,Román,247,2023-06-09 00:00:00,40.35701,-3.69643
Rental unit in madrid,★4.63,"3 bedrooms, 4 beds, 1 bath",Centro,Universidad,Entire home/apt,139,7,Jose,215,2020-02-20 00:00:00,40.4256,-3.70436
Rental unit in madrid,★4.66,"1 bedroom, 1 bed, 1.5 shared baths",Arganzuela,Acacias,Private room,29,6,Margarita,148,2021-11-09 00:00:00,40.40334,-3.70254
Rental unit in madrid,★4.26,"2 bedrooms, 4 beds, 1.5 shared baths",Salamanca,Lista,Shared room,70,2,Claudia,77,2023-05-21 00:00:00,40.43003,-3.67429
Loft in madrid,★4.48,"1 bedroom, 1 bed, 1 bath",Centro,Embajadores,Entire home/apt,53,10,Laura,33,2023-05-29 00:00:00,40.41115,-3.69673
Rental unit in madrid,★4.86,"1 bedroom, 2 beds, 1 bath",Centro,Sol,Entire home/apt,119,5,Daniel,120,2023-05-02 00:00:00,40.41959,-3.70373
Loft in madrid,★4.71,"1 bedroom, 1 bed, 1 bath",Centro,Embajadores,Entire home/apt,124,1,José,327,2023-06-04 00:00:00,40.41389,-3.70461
Rental unit in madrid,★4.37,"1 bedroom, 1 bed, 1 bath",Centro,Sol,Entire home/apt,92,3,Mad4Rent,58,2023-06-06 00:00:00,40.41506,-3.7029
Loft in madrid,★3.60,"Studio, 2 beds, 1 bath",Chamartín,El Viso,Entire home/apt,100,120,Susana,7,2022-06-30 00:00:00,40.44374,-3.68161
Rental unit in madrid,★4.81,"1 bedroom, 1 bed, 1.5 baths",Centro,Sol,Entire home/apt,91,2,Luz,676,2023-06-07 00:00:00,40.41697,-3.70732
